MOLECULE_ID;SMILES;CELL_LINE;TEST_TYPE;RACEMAT;R;S;RR;SS;RS;SR;CIS;TRANS;INDOLE;IC50;Source;Reference
US202311795164B1_1;CC1=CC=C(C=C1)C2=NN(C(=O)C(=C2)C(=O)NC(CO)C(C)C)C3=CN(N=C3)C;0;Luminescence;1;0;0;0;0;0;0;0;0;0;7.38;patent;US202311795164B1
US202311795164B1_4;CCC(CO)NC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CC=C(C=C3)C;0;Luminescence;1;0;0;0;0;0;0;0;0;0;9.52;patent;US202311795164B1
US202311795164B1_7;CC1=CC=C(C=C1)C2=NN(C(=O)C(=C2)C(=O)NC(C)CO)C3=CN(N=C3)C;0;Luminescence;1;0;0;0;0;0;0;0;0;0;20.5;patent;US202311795164B1
US202311795164B1_7;CC1=CC=C(C=C1)C2=NN(C(=O)C(=C2)C(=O)NC(C)CO)C3=CN(N=C3)C;0;Luminescence;1;0;0;0;0;0;0;0;0;0;20.5;patent;US202311795164B1
US202311795164B1_8;CC1=CC=C(C=C1)C2=NN(C(=O)C(=C2)C(=O)N[C@H](C)CO)C3=CN(N=C3)C;0;Luminescence;0;0;1;0;0;0;0;0;0;0;19;patent;US202311795164B1
US202311795164B1_9;CC1=CC=C(C=C1)C2=NN(C(=O)C(=C2)C(=O)N[C@H](C)CO)C3=CN(N=C3)C;0;Luminescence;0;1;0;0;0;0;0;0;0;0;164;patent;US202311795164B1
US202311795164B1_10;CC1=CC=C(C=C1)C2=NN(C(=O)C(=C2)C(=O)NCC(C(F)(F)F)O)C3=CN(N=C3)C;0;Luminescence;1;0;0;0;0;0;0;0;0;0;4.25;patent;US202311795164B1
US202311795164B1_13;CC1=CC=C(C=C1)C2=NN(C(=O)C(=C2)C(=O)NCC(C(F)F)O)C3=CN(N=C3)C;0;Luminescence;1;0;0;0;0;0;0;0;0;0;32.5;patent;US202311795164B1
US202311795164B1_16;CC(C)[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CC=C(C=C3)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;3.69;patent;US202311795164B1
US202311795164B1_17;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CC=C(C=C3)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;15;patent;US202311795164B1
